id, class, score, x, y, w, h
1, person,  95%, 61, 353, 53, 130
2, person,  91%, 523, 367, 50, 128
3, person,  91%, 476, 364, 45, 117
4, person,  88%, 417, 361, 37, 111
5, person,  85%, 293, 358, 31, 85
6, person,  84%, 522, 360, 15, 37
7, car,  83%, 168, 369, 65, 30
8, person,  82%, 10, 374, 45, 101
9, person,  81%, 571, 356, 49, 103
10, person,  80%, 327, 380, 42, 105
11, person,  80%, 260, 360, 22, 58
12, person,  71%, 113, 366, 25, 67
13, umbrella,  70%, 232, 362, 30, 13
14, car,  70%, 708, 373, 253, 83
15, car,  70%, 131, 365, 41, 30
16, person,  68%, 396, 367, 18, 47
17, person,  66%, 384, 364, 13, 39
18, person,  66%, 236, 375, 20, 44
19, person,  64%, 629, 366, 28, 78
20, person,  64%, 751, 364, 13, 23
21, person,  61%, 673, 364, 12, 33
22, person,  60%, 695, 365, 20, 55
23, backpack,  58%, 63, 375, 23, 39
24, umbrella,  56%, 329, 363, 64, 22
25, person,  55%, 944, 363, 20, 27
26, person,  52%, 609, 367, 24, 75
27, person,  49%, 43, 364, 10, 20
28, person,  49%, 1012, 355, 10, 32
29, handbag,  49%, 606, 398, 17, 15
30, traffic light,  46%, 812, 152, 57, 25
31, person,  44%, 843, 363, 15, 14
32, person,  44%, 639, 363, 19, 40
33, person,  44%, 212, 361, 11, 18
34, person,  43%, 411, 369, 16, 46
35, person,  43%, 402, 367, 19, 48
36, person,  43%, 707, 362, 13, 34
37, person,  43%, 474, 359, 24, 48
38, person,  42%, 996, 360, 23, 62
39, person,  42%, 883, 363, 17, 34
40, person,  41%, 103, 365, 10, 28
41, person,  41%, 672, 366, 16, 46
42, frisbee,  40%, 783, 318, 17, 17
43, stop sign,  39%, 535, 166, 16, 16
44, person,  38%, 542, 359, 27, 45
45, handbag,  38%, 651, 403, 18, 28
46, person,  38%, 287, 363, 8, 25
47, person,  36%, 32, 364, 9, 18
48, person,  36%, 813, 362, 15, 13
49, person,  36%, 474, 359, 28, 95
50, person,  36%, 719, 363, 11, 27
51, person,  36%, 360, 381, 14, 33
52, handbag,  36%, 606, 379, 20, 36
53, traffic light,  34%, 786, 283, 13, 28
54, person,  33%, 797, 361, 14, 15
55, person,  33%, 315, 354, 29, 109
56, person,  32%, 895, 364, 13, 29
57, person,  32%, 121, 362, 12, 31
58, person,  32%, 595, 360, 33, 89
59, person,  31%, 578, 131, 17, 27
60, fire hydrant,  31%, 347, 12, 19, 25
61, person,  31%, 638, 364, 24, 61
62, traffic light,  30%, 186, 322, 9, 25
63, handbag,  30%, 356, 426, 12, 20
64, person,  30%, 799, 361, 17, 39
65, person,  29%, 812, 363, 18, 36
66, person,  29%, 694, 369, 14, 29
67, handbag,  28%, 526, 393, 29, 39
68, person,  28%, 668, 382, 24, 34
69, person,  28%, 414, 370, 11, 30
70, person,  28%, 996, 361, 20, 33
71, person,  28%, 702, 362, 19, 51
72, person,  28%, 854, 364, 9, 15
73, person,  28%, 30, 363, 6, 19
74, person,  27%, 120, 362, 15, 52
75, person,  26%, 390, 365, 16, 46
76, person,  26%, 878, 363, 13, 28
77, person,  26%, 171, 361, 16, 13
78, person,  25%, 535, 362, 34, 73
79, handbag,  25%, 699, 378, 13, 30
80, person,  25%, 877, 364, 9, 21
81, umbrella,  25%, 325, 360, 68, 44
82, handbag,  24%, 483, 402, 10, 23
83, person,  24%, 886, 364, 23, 36
84, handbag,  23%, 610, 372, 22, 35
85, person,  22%, 804, 362, 20, 38
86, person,  22%, 101, 363, 8, 23
87, person,  22%, 35, 363, 8, 17
88, person,  22%, 170, 366, 6, 9
89, handbag,  21%, 704, 377, 12, 22
90, handbag,  21%, 650, 410, 12, 21
91, person,  21%, 769, 366, 15, 26
92, person,  20%, 814, 363, 19, 18
93, traffic light,  20%, 718, 312, 9, 28
94, person,  20%, 724, 364, 12, 24
95, motorcycle,  20%, 924, 384, 25, 23
96, person,  20%, 323, 355, 20, 40
97, bicycle,  20%, 1001, 381, 22, 50
98, umbrella,  20%, 233, 364, 29, 22
99, person,  20%, 635, 365, 18, 33
100, person,  20%, 107, 365, 9, 20
